lead_source,upload_start,upload_end,uploaded_leads,attempted,connected,tag_filled,interested,ob_after_upload,ob_after_first_attempt,ft_after_upload,ft_after_first_attempt,total_attempts,median_upload_to_first_attempt_hrs,rows,attempt_rate,connect_rate_per_attempted,interest_rate_per_connected,ft_rate_per_uploaded,ft_rate_per_attempted,ft_after_first_attempt_rate,attempts_per_uploaded_lead,meets_volume_floor,cohort_score
Single Referral > 7 days- 24th Jul,2026-07-25,2026-07-25,1500,1454,690,676,7,30,4,14,2,1891.0,48.5,1500,0.9693333333333334,0.47455295735900965,0.010144927536231883,0.009333333333333334,0.009628610729023384,0.001375515818431912,1.2606666666666666,True,0.007981039618604076
Khanna- 2W 26th Jul,2026-07-27,2026-07-27,1546,1376,574,561,20,39,10,14,6,1626.0,15.0,1546,0.890038809831824,0.4171511627906977,0.03484320557491289,0.009055627425614488,0.010174418604651164,0.00436046511627907,1.0517464424320828,True,0.007775529550877959
PreOb-Ob Fees Paid 29th Jul (set 1),2026-07-29,2026-07-29,1483,1433,650,645,103,15,6,7,2,2031.0,15.0,1483,0.9662845583277141,0.45359385903698535,0.15846153846153846,0.004720161834120027,0.004884856943475227,0.0013956734124214933,1.3695212407282535,True,0.00402997819055415
PreOb-Ob Fees Paid 29th Jul (set 2),2026-07-30,2026-07-30,1558,1519,735,728,122,14,6,7,5,2312.0,14.0,1558,0.9749679075738126,0.4838709677419355,0.16598639455782313,0.004492939666238768,0.004608294930875576,0.0032916392363396972,1.4839537869062902,True,0.0038618794832082537
AI Connected but not Connected by TC- Set 1,2026-08-01,2026-08-01,1480,1331,694,684,29,9,2,5,0,1905.0,15.0,1480,0.8993243243243243,0.521412471825695,0.04178674351585014,0.0033783783783783786,0.003756574004507889,0.0,1.287162162162162,True,0.0028835914615829767
AI Connected but not Connected by TC- Set 2,2026-08-03,2026-08-03,1193,1066,466,464,26,6,0,2,0,1430.0,16.0,1193,0.8935456831517183,0.4371482176360225,0.055793991416309016,0.0016764459346186086,0.001876172607879925,0.0,1.198658843252305,True,0.0013886979727838879
Khanna AI,2026-08-06,2026-08-06,886,245,137,136,2,3,0,1,0,309.0,-151.0,886,0.2765237020316027,0.5591836734693878,0.014598540145985401,0.001128668171557562,0.004081632653061225,0.0,0.34875846501128666,True,0.0008957207757281149
OLX - Ashwin - 2W - 17 Jul,2026-07-21,2026-07-21,5182,962,372,364,9,3,1,4,2,1112.0,15.0,5182,0.18564260903126206,0.3866943866943867,0.024193548387096774,0.0007719027402547279,0.004158004158004158,0.002079002079002079,0.21458896179081435,True,0.0007719027402547279
AI Connected band Not Interested,2026-08-04,2026-08-05,2137,1359,637,631,21,0,0,0,0,1574.0,17.0,2137,0.6359382311651849,0.4687270051508462,0.03296703296703297,0.0,0.0,0.0,0.7365465605989705,True,0.0
2W3W - 3WCNG - Khanna - 3W - 17 Jul,2026-07-18,2026-07-18,530,530,291,291,1,0,0,0,0,711.0,129.0,530,1.0,0.5490566037735849,0.003436426116838488,0.0,0.0,0.0,1.3415094339622642,True,0.0
2W3W - 3WAHD - Khanna - 3W - 17 Jul,2026-07-18,2026-07-18,495,495,212,208,7,0,0,0,0,580.0,107.0,495,1.0,0.42828282828282827,0.0330188679245283,0.0,0.0,0.0,1.1717171717171717,False,0.0
2W3W - 3WEV - Khanna - 3W - 17 Jul,2026-07-18,2026-07-18,201,201,91,90,1,0,0,0,0,256.0,136.0,201,1.0,0.4527363184079602,0.01098901098901099,0.0,0.0,0.0,1.2736318407960199,False,0.0
JobHai - Khanna - Riders - 17 Jul,2026-07-21,2026-07-21,3,1,0,0,0,0,0,0,0,1.0,13.5,3,0.3333333333333333,0.0,,0.0,0.0,0.0,0.3333333333333333,False,0.0
JobHai - Khanna - Riders - 16 Jul,2026-07-21,2026-07-21,2,0,0,0,0,0,0,0,0,0.0,,2,0.0,,,0.0,,,0.0,False,0.0
50K 2W4 - Khanna - 2W - 17 Jul,2026-07-18,2026-07-18,1,1,1,1,0,0,0,0,0,1.0,86.0,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,False,0.0
50K 2W5 - Khanna - 2W - 17 Jul,2026-07-21,2026-07-21,1,0,0,0,0,0,0,0,0,0.0,,1,0.0,,,0.0,,,0.0,False,0.0
